net_name,hpwl,type_die
N1,127,BOTTOM
N2,226,BOTTOM
N3,218,BOTTOM
N4,122,BOTTOM
N5,97,BOTTOM
N6,219,BOTTOM
N7,133,BOTTOM
N8,105,BOTTOM
N9,117,BOTTOM
N10,156,BOTTOM
N11,95,BOTTOM
N12,122,BOTTOM
N13,351,BOTTOM
N14,142,BOTTOM
N15,122,BOTTOM
N16,122,BOTTOM
N17,188,BOTTOM
N18,122,BOTTOM
N19,122,BOTTOM
N20,141,BOTTOM
N21,122,BOTTOM
N22,171,BOTTOM
N23,300,BOTTOM
N24,122,BOTTOM
N25,141,BOTTOM
N26,122,BOTTOM
N27,133,BOTTOM
N28,84,BOTTOM
N29,122,BOTTOM
N30,122,BOTTOM
N31,122,BOTTOM
N32,108,BOTTOM
N33,122,BOTTOM
N34,122,BOTTOM
N35,104,BOTTOM
N36,141,BOTTOM
N37,208,BOTTOM
N38,122,BOTTOM
N39,122,BOTTOM
N40,498,BOTTOM
N41,155,BOTTOM
N42,133,BOTTOM
N43,93,BOTTOM
N44,122,BOTTOM
N45,150,BOTTOM
N46,122,BOTTOM
N47,122,BOTTOM
N48,129,BOTTOM
N49,133,BOTTOM
N50,97,BOTTOM
N51,289,BOTTOM
N52,168,BOTTOM
N53,133,BOTTOM
N54,133,BOTTOM
N55,100,BOTTOM
N56,83,BOTTOM
N57,190,BOTTOM
N58,87,BOTTOM
N59,128,BOTTOM
N60,122,BOTTOM
N61,122,BOTTOM
N62,133,BOTTOM
N63,133,BOTTOM
N64,174,BOTTOM
N65,176,BOTTOM
N66,133,BOTTOM
N67,133,BOTTOM
N68,139,BOTTOM
N69,122,BOTTOM
N70,212,BOTTOM
N71,133,BOTTOM
N72,133,BOTTOM
N73,254,BOTTOM
N74,96,BOTTOM
N75,209,BOTTOM
N76,128,BOTTOM
N77,347,BOTTOM
N78,133,BOTTOM
N79,186,BOTTOM
N80,168,BOTTOM
N81,122,BOTTOM
N82,151,BOTTOM
N83,122,BOTTOM
N84,133,BOTTOM
N85,155,BOTTOM
N86,90,BOTTOM
N87,122,BOTTOM
N88,122,BOTTOM
N89,133,BOTTOM
N90,87,BOTTOM
N91,102,BOTTOM
N92,133,BOTTOM
N93,123,BOTTOM
N94,122,BOTTOM
N95,122,BOTTOM
N96,122,BOTTOM
N97,89,BOTTOM
N98,133,BOTTOM
N99,205,BOTTOM
N100,133,BOTTOM
N101,259,BOTTOM
N102,159,BOTTOM
N103,172,BOTTOM
N104,180,BOTTOM
N105,132,BOTTOM
N106,220,BOTTOM
N107,148,BOTTOM
N108,137,BOTTOM
N109,122,BOTTOM
N110,146,BOTTOM
N111,151,BOTTOM
N112,85,BOTTOM
N113,254,BOTTOM
N114,122,BOTTOM
N115,133,BOTTOM
N116,133,BOTTOM
N117,237,BOTTOM
N118,95,BOTTOM
N119,83,BOTTOM
N120,220,BOTTOM
N121,133,BOTTOM
N122,257,BOTTOM
N123,182,BOTTOM
N124,233,BOTTOM
N125,133,BOTTOM
N126,82,BOTTOM
N127,124,BOTTOM
N128,158,BOTTOM
N129,183,BOTTOM
N130,111,BOTTOM
N131,210,BOTTOM
N132,133,BOTTOM
N133,122,BOTTOM
N134,95,BOTTOM
N135,122,BOTTOM
N136,217,BOTTOM
N137,207,BOTTOM
N138,256,BOTTOM
N139,144,BOTTOM
N140,104,BOTTOM
N141,167,BOTTOM
N142,83,BOTTOM
N143,133,BOTTOM
N144,122,BOTTOM
N145,455,BOTTOM
N146,209,BOTTOM
N147,133,BOTTOM
N148,133,BOTTOM
N149,108,BOTTOM
N150,133,BOTTOM
N151,133,BOTTOM
N152,92,BOTTOM
N153,243,BOTTOM
N154,122,BOTTOM
N155,42,BOTTOM
N156,42,BOTTOM
N157,42,BOTTOM
N158,42,BOTTOM
N159,122,BOTTOM
N160,144,BOTTOM
N161,42,BOTTOM
N162,42,BOTTOM
N163,42,BOTTOM
N164,42,BOTTOM
N165,133,BOTTOM
N166,42,BOTTOM
N167,114,BOTTOM
N168,42,BOTTOM
N169,42,BOTTOM
N170,42,BOTTOM
N171,42,BOTTOM
N172,144,BOTTOM
N173,42,BOTTOM
N174,42,BOTTOM
N175,121,BOTTOM
N176,42,BOTTOM
N177,42,BOTTOM
N178,42,BOTTOM
N179,155,BOTTOM
N180,42,BOTTOM
N181,42,BOTTOM
N182,42,BOTTOM
N183,42,BOTTOM
N184,42,BOTTOM
